image_path,class_name,crop,disease,temperature_c,humidity_pct,disease_percentage
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/12071472-8b0f-494e-994e-8abff2082ec4___GCREC_Bact.Sp 6130.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,28.1728415,93.0226425,18.54676047
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/e797fd83-e984-4df6-a3a2-c19a95d19576___GCREC_Bact.Sp 3425.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,24.92252994,81.71310856,18.73386403
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/7334e742-de72-4561-9b0d-cdd8bc3313e7___GCREC_Bact.Sp 3066.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,22.59082235,81.90502072,11.62520782
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/927b90a6-6318-47b0-93fd-a1c33d2d36c5___GCREC_Bact.Sp 3641.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,21.85016185,96.09777531,20.54090488
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/475758ba-01a6-41f7-abe4-81f2fff399b4___UF.GRC_BS_Lab Leaf 9185.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,25.10194405,89.10236786,8.866790305
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/d78cf219-53eb-4269-830d-e1822caa8fdd___GCREC_Bact.Sp 5755.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,28.80944681,99.75295054,11.9363316
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/f8efccbd-9721-4291-a095-9fb29527bbc4___UF.GRC_BS_Lab Leaf 0235.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,27.82074262,89.10163771,8.036257452
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/42deb15b-6443-4d2e-9a45-023052ce4974___GCREC_Bact.Sp 3077.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,21.42913976,85.00347794,12.10624551
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/b0a74f61-0012-4b6c-b528-bbce1b79c588___GCREC_Bact.Sp 3805.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,20.28655491,81.96723818,13.59768296
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/5bbb489c-d164-4e67-a965-6ab33a754d3f___GCREC_Bact.Sp 3016.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,27.08741116,97.48818342,10.18107518
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/cd14eb9f-28be-44fb-8687-a7469f5a88b8___GCREC_Bact.Sp 5740.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,29.50949696,93.58342916,21.71205928
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/6dbfe52b-be4e-47e2-9fe6-19d536d3a67a___GCREC_Bact.Sp 3164.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,28.84158046,80.04700442,14.96037609
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/e1ee0df9-7ad3-47f4-ba57-0e243101a657___GCREC_Bact.Sp 3702.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,20.93779607,93.72748624,12.19287078
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/45b562f0-a975-4c93-a705-699d7cc977bc___GCREC_Bact.Sp 5733.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,24.50516511,98.17150011,9.128664276
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/ecba62cb-3f58-4de1-90a3-94e0ae818bc6___UF.GRC_BS_Lab Leaf 9124.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,21.47473577,83.35581736,14.16179932
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/1061c5d5-6c61-40a6-b8e7-4cc735109f94___GCREC_Bact.Sp 3341.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,21.75211779,99.0639671,7.595163779
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/2a377230-f904-4646-95da-76e242051242___GCREC_Bact.Sp 3085.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,22.69477641,91.33441704,16.05119401
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/46638af1-9027-42c5-a5c0-03d6b684f975___UF.GRC_BS_Lab Leaf 0217.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,23.00157748,94.55718168,18.4333391
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/d4e4f6a5-f887-48b1-83d5-44e6f834cab4___GCREC_Bact.Sp 6064.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,28.68243771,99.46880228,20.49614884
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/68b7d7af-1071-42db-80b7-2d46261b9dff___GCREC_Bact.Sp 6132.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,22.41204475,90.21270615,22.59143879
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/b7b5399c-fbd6-4435-8523-80e9166f1d6a___GCREC_Bact.Sp 6001.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,21.53013367,94.84396612,13.11430899
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/2f3e2c44-a83b-4f72-a831-ac42aec1020e___UF.GRC_BS_Lab Leaf 0211.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,22.54333093,90.3698594,20.01010808
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/8897f549-538f-46d9-a2f7-53eb07e7f89d___UF.GRC_BS_Lab Leaf 8885.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,27.43343453,91.10108712,14.61512086
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/d4f3d9f0-b02e-4632-bf9d-6aefdcd4bae3___GCREC_Bact.Sp 3843.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,26.51908268,94.67083203,14.79921217
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/16467af5-6cd6-47c8-b3bc-405dc68a462d___GCREC_Bact.Sp 3258.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,23.10744362,94.83165835,14.61917524
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/389409f8-30ae-46b3-960f-7b4936fc8ca5___GCREC_Bact.Sp 6021.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,28.58650309,93.2863694,16.9651111
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/954e415f-a2ae-42ba-ac21-fdd41da95ff2___GCREC_Bact.Sp 5935.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,28.3528637,86.81525825,15.68541172
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/0f57cc30-af42-4543-9a67-b27eda784325___UF.GRC_BS_Lab Leaf 9260.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,20.13512222,94.8640232,14.94140044
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/b1dd4d7d-40ab-40bc-8246-5dabfac9dbd9___GCREC_Bact.Sp 3488.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,24.8893453,88.98569435,8.87257342
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/0c09c121-e945-4b7e-acbf-dff4e0d01acb___GCREC_Bact.Sp 3379.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,21.30711456,93.06632727,16.83220497
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/13a0b443-c0b3-45fe-a22d-965a87a9b45e___GCREC_Bact.Sp 3108.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,27.95886124,97.3336525,10.95597525
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/357e7fb6-0d3f-44f5-9f13-ae84759da804___UF.GRC_BS_Lab Leaf 0525.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,21.14469242,98.0152696,20.90336134
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/a9045c2f-df74-4d31-8e2f-f3ce3d6753e2___GCREC_Bact.Sp 3026.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,29.88593441,97.60506972,11.32247175
/kaggle/input/plantdisease/PlantVillage/Tomato_Bacterial_spot/38ef51e1-c793-4a6c-b17d-e066bcd533c8___GCREC_Bact.Sp 5639.JPG,Tomato_Bacterial_spot,Tomato,bacterial spot,28.67617401,98.8939632,16.08481082
